State,Number of Deaths from COVID-19,Total State Population
Alabama,16265,5024279
Alaska,886,733391
Arizona,23036,7151502
Arkansas,8848,3011524
California,75275,39538223
Colorado,9627,5773714
Connecticut,8972,3605944
Delaware,2218,989948
District of Columbia,1199,690000
Florida,62026,21538187
Georgia,30823,10711908
Hawaii,1058,1455271
Idaho,4029,1839106
Illinois,29234,12812508
Indiana,18014,6785528
Iowa,7550,3190369
Kansas,6834,2937880
Kentucky,11542,4505836
Louisiana,14877,4657757
Maine,1367,1362359
Maryland,11255,6177224
Massachusetts,19634,7029917
Michigan,26914,10077331
Minnesota,9996,5706494
Mississippi,10326,2961279
Missouri,15709,6154913
Montana,2821,1084225
Nebraska,3263,1961504
Nevada,8188,3104614
New Hampshire,1781,1377529
New Jersey,28576,9288994
New Mexico,5472,2117522
New York,58168,20201249
North Carolina,18976,10439388
North Dakota,1989,779094
Ohio,27371,11799448
Oklahoma,12070,3959353
Oregon,5381,4237256
Pennsylvania,34616,13002700
Rhode Island,2957,1097379
South Carolina,14375,5118425
South Dakota,2398,886667
Tennessee,17721,6910849
Texas,74607,29145505
Utah,3640,3271616
Vermont,432,643077
Virginia,14895,8631393
Washington,9554,7705281
West Virginia,5085,1793716
Wisconsin,10386,5893718
Wyoming,1472,576851